Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,Age,Population,GDP,H-Rank,A-Rank,HC. Tenure,HC. Nationality,HC. Age,AC. Tenure,AC. Nationality,AC. Age
CDR,30/1/2013,Real Madrid,Barcelona,1,1,D,0,0,D,10,10,2,5,19,5,3,3,0,0,3,3.6,2.2,-0.7,0.0344,0.21,2,1,2,0,49,0,1,44
CDR,26/2/2013,Barcelona,Real Madrid,1,3,A,0,1,A,16,14,3,8,9,13,2,1,0,0,1.67,4.5,5,0.7,-0.0344,-0.21,1,2,0,1,44,2,0,49
CDR,16/4/2014,Barcelona,Real Madrid,1,2,A,0,1,A,12,18,4,7,5,8,2,3,0,0,2.38,3.9,2.88,2,-0.0335,-0.2,1,2,0,0,53,0,0,54
CDR,6/2/19,Barcelona,Real Madrid,1,1,D,0,1,A,11,11,3,2,16,17,4,2,0,0,1.95,3.8,3.5,-0.5,-0.035,-0.17,1,3,2,1,55,0,0,42
CDR,27/2/2019,Real Madrid,Barcelona,0,3,A,0,0,D,14,4,4,2,14,16,2,2,0,0,2.79,3.8,2.45,-0.9,0.035,0.17,3,1,0,0,42,2,1,55
UCL,27/4/2011,Real Madrid,Barcelona,0,2,A,0,0,D,10,11,3,5,18,22,3,2,1,1,2.75,3,2.79,-1.5,0.035,0.18,1,2,0,0,47,2,1,39
UCL,3/5/11,Barcelona,Real Madrid,1,1,D,0,0,D,12,4,6,1,10,31,1,5,0,0,1.62,4,5.5,0.6,-0.035,-0.18,1,2,2,1,39,0,0,47
SSC,14/8/2011,Real Madrid,Barcelona,2,2,D,1,2,A,19,4,9,2,26,14,3,2,0,0,2.29,3.4,3,-0.4,0.034,0.18,1,2,1,0,48,3,1,40
SSC,17/8/2011,Barcelona,Real Madrid,3,2,H,2,1,H,12,17,8,7,17,17,3,5,1,2,1.91,3.6,4,1.3,-0.034,-0.18,2,1,3,1,40,1,0,48
SSC,23/8/2012,Barcelona,Real Madrid,3,2,H,0,0,D,17,7,6,2,13,12,1,3,0,0,1.67,3.75,5,-0.2,-0.034,-0.2,2,1,0,1,44,2,0,49
SSC,29/8/2012,Real Madrid,Barcelona,2,1,H,2,1,H,21,12,7,2,16,8,4,2,0,1,2.4,3.6,2.7,0.3,0.034,0.2,1,2,2,0,49,0,1,44
SSC,13/8/2017,Barcelona,Real Madrid,1,3,A,0,0,D,16,12,6,7,10,16,3,4,0,1,1.91,4.33,3.4,-1.1,-0.0335,-0.18,1,2,1,1,54,2,0,46
SSC,16/8/2017,Real Madrid,Barcelona,2,0,H,2,0,H,14,12,5,3,10,12,0,2,0,0,2.4,4,2.6,-0.8,0.0335,0.18,2,1,2,0,46,1,1,54
SSC,12/1/22,Barcelona,Real Madrid,2,3,A,1,1,D,20,14,6,8,18,11,2,2,0,0,3.29,3.6,2.1,0.1,-0.035,-0.19,1,2,2,0,62,0,1,41
